Job Title,Rating,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,same_state,age,python_yn,R_yn,spark,aws,excel,desc_len,num_comp,job_simp_data engineer,job_simp_data scientist,job_simp_director,job_simp_manager,job_simp_mle,job_simp_na,seniority_na,seniority_senior,job_state_az,job_state_ca,job_state_co,job_state_ct,job_state_dc,job_state_de,job_state_fl,job_state_ga,job_state_ia,job_state_id,job_state_il,job_state_in,job_state_ks,job_state_ky,job_state_la,job_state_ma,job_state_md,job_state_mi,job_state_mn,job_state_mo,job_state_nc,job_state_ne,job_state_nj,job_state_nm,job_state_ny,job_state_oh,job_state_or,job_state_pa,job_state_ri,job_state_sc,job_state_tn,job_state_tx,job_state_ut,job_state_va,job_state_wa,job_state_wi
data scientist,3.8,"albuquerque, nm","goleta, ca",501 to 1000 employees,1973.0,company - private,aerospace & defense,aerospace & defense,$50 to $100 million (usd),0,0,-0.7015465167999702,-0.822078458092036,72.0,0,-0.05606493011031026,1,0,0,0,1,-0.8770614336623113,-0.761876426769001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
healthcare data scientist,3.4,"linthicum, md","baltimore, md",10000+ employees,1984.0,other organization,health care services & hospitals,health care,$2 to $5 billion (usd),0,0,-0.37854607285260233,-0.35737225333999145,87.5,0,-0.25957768547496524,1,0,0,0,0,0.6007708303480701,-0.761876426769001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data scientist,4.8,"clearwater, fl","clearwater, fl",501 to 1000 employees,2010.0,company - private,security services,business services,$100 to $500 million (usd),0,0,0.17055468185792283,-0.8442073249849905,85.0,1,-0.7406078345186953,1,0,1,0,1,-0.2686970170136229,-0.761876426769001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data scientist,3.8,"richland, wa","richland, wa",1001 to 5000 employees,1965.0,government,energy,"oil, gas, energy & utilities",$500 million to $1 billion (usd),0,0,-0.6046463836157598,-0.689305256734309,76.5,1,0.09194434651852974,1,0,0,0,0,0.008848695230427351,1.406840869890585,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
data scientist,2.9,"new york, ny","new york, ny",51 to 200 employees,1998.0,company - private,advertising & marketing,business services,unknown / non-applicable,0,0,0.3643549482263435,0.32862262034159817,114.5,1,-0.5185939195754352,1,0,0,0,1,-0.7507847115038808,1.406840869890585,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
data scientist,3.4,"dallas, tx","dallas, tx",201 to 500 employees,2000.0,company - public,real estate,real estate,$1 to $2 billion (usd),0,0,-0.12014571769470815,-0.20247018508930992,95.0,1,-0.5555962387326452,1,0,0,1,1,-0.08059731629846088,1.406840869890585,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
data scientist,4.1,"baltimore, md","baltimore, md",501 to 1000 employees,2008.0,company - private,banks & credit unions,finance,unknown / non-applicable,0,0,-0.6692464724052334,-0.777820724306127,73.5,1,-0.7036055153614852,0,0,0,0,1,-1.3703298795936802,-0.761876426769001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data scientist,3.8,"san jose, ca","seattle, wa",201 to 500 employees,2005.0,company - private,consulting,business services,$25 to $50 million (usd),0,0,0.3643549482263435,0.30649375344864366,114.0,0,-0.6481020366256702,1,0,1,1,1,-0.04310891440767685,-0.761876426769001,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
research scientist,3.3,"rochester, ny","rochester, ny",10000+ employees,2014.0,hospital,health care services & hospitals,health care,$500 million to $1 billion (usd),0,0,-1.1860471827210217,-0.9769805263427175,61.0,1,-0.8146124728331152,0,0,0,0,0,-1.533437312381653,-0.761876426769001,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
data scientist,4.6,"new york, ny","new york, ny",51 to 200 employees,2009.0,company - private,internet,information technology,$100 to $500 million (usd),0,0,1.462556457647394,0.7048133575218247,140.0,1,-0.7221066749400903,1,0,1,0,0,0.46331335674852864,0.6839351043373896,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
data scientist,3.5,"san jose, ca","san francisco, ca",501 to 1000 employees,2011.0,company - private,other retail stores,retail,$1 to $2 billion (usd),0,0,1.6563567240158146,1.6120969001329593,163.5,0,-0.7591089940973003,1,0,0,0,0,-0.7317116649278679,-0.761876426769001,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data scientist,4.1,"chantilly, va","herndon, va",5001 to 10000 employees,1968.0,company - public,research & development,business services,$1 to $2 billion (usd),0,0,-0.34624602845786556,-0.4901454546977185,85.0,0,0.03644086778271474,0,0,0,0,0,-0.24962397043760998,-0.761876426769001,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
staff data scientist - technology,3.2,"plano, tx","bentonville, ar",10000+ employees,1962.0,company - public,"department, clothing, & shoe stores",retail,$10+ billion (usd),0,0,1.010355836121079,0.9703597602372788,139.0,0,0.14744782525434474,0,0,0,0,0,0.04239094955376044,1.406840869890585,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
data analyst,4.1,"seattle, wa","seattle, wa",201 to 500 employees,2012.0,company - private,advertising & marketing,business services,unknown / non-applicable,0,0,-0.9276468275631276,-0.954851659449763,65.5,1,-0.7776101536759052,1,0,1,1,1,0.6757476341296382,-0.761876426769001,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
data scientist,3.7,"cambridge, ma","osaka, japan",10000+ employees,1781.0,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),0,0,0.26745481504213314,0.35075148723455263,113.5,0,3.4961577089818494,1,0,1,0,0,-0.09112037647833009,1.406840869890585,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data engineer i,3.6,"newark, nj","newark, nj",1001 to 5000 employees,1995.0,subsidiary or business segment,motion picture production & distribution,media,unknown / non-applicable,0,0,0.881155658542132,1.3686793643104598,146.0,1,-0.46309044083962025,0,0,0,0,1,-1.3025876796857723,-0.761876426769001,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"scientist i/ii, biology",3.9,"cambridge, ma","cambridge, ma",51 to 200 employees,2011.0,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$1 to $5 million (usd),0,0,-0.24934589527365525,0.19584941898387112,102.0,1,-0.7591089940973003,0,0,0,0,1,-0.151627972512578,1.406840869890585,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
customer data scientist,4.3,"mountain view, ca","mountain view, ca",201 to 500 employees,2011.0,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,0,0,1.3979563688579204,1.3465504974175053,153.5,1,-0.7591089940973003,1,0,1,1,1,0.19300224837813842,-0.761876426769001,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data scientist - health data analytics,4.2,"san francisco, ca","san francisco, ca",51 to 200 employees,2010.0,company - private,enterprise software & network solutions,information technology,unknown / non-applicable,0,0,1.139556013700026,1.0367463609161423,142.5,1,-0.7406078345186953,0,0,0,0,0,-0.23515476269028981,-0.761876426769001,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
data scientist,4.0,"denver, co","denver, co",501 to 1000 employees,1915.0,nonprofit organization,insurance carriers,insurance,$500 million to $1 billion (usd),0,0,-0.34624602845786556,-0.3795011202329459,87.5,1,1.0170023254487797,1,0,0,0,1,0.3469020035087255,-0.761876426769001,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
